DISTRICT,LOCATION,LONGITUDE,LATITUDE,pH,EC,CO3,HCO3,Cl,SO4,NO3,F,PO4,Ca,Mg,Na,K,SiO2,TH,SAR_VALUE,RSC_VALUE
Amritsar,Ajnala,74.7608,31.8439,8.4,1100,24,305.1,120.5,160.0,55.0,0.32,0,32.0,38.9,170.0,51.0,,240.192,4.037902233,1.0
Amritsar,Amritsar,74.8787,31.6358,8.22,602,0,317.3,28.4,86.0,12.0,0.45,0,40.0,31.6,72.0,16.0,,230.184,1.701790053,0.6
Amritsar,Beas,75.3,31.515,8.02,710,0,341.7,70.9,70.0,7.0,0.50,0,44.0,41.3,77.0,11.0,,280.224,1.667424603,-0.040
Amritsar,Bhindi Saidan,74.641,31.811,8.8,1530,84,671.2,35.5,102.0,0.7,0.10,0.1,44.0,17.0,305.0,7.1,,180.144,7.810249676,10.2
Amritsar,Chogawan,74.6649,31.7041,8.34,482,48,183.1,21.3,62.0,0.3,0.52,0,24.0,31.6,60.0,9.2,,190.152,1.609325342,0.8
Amritsar,Gaggomahal,74.66666667,31.9,8.39,382,24,207.5,7.1,25.0,0.5,0.38,0.22,24.0,12.2,62.0,4.7,,110.088,2.060949735,2.0
Amritsar,Jadiala Guru,75.033,31.567,8.12,389,0,244.1,14.2,45.0,0.9,0.60,0,36.0,24.3,33.0,9.2,,190.152,0.84993415,0.2
Amritsar,Mahawa,74.9375,31.56666667,8.05,768,0,366.1,56.7,50.0,0.5,0.52,0,36.0,24.3,105.0,17.0,,190.152,2.704335933,2.2
Amritsar,Mehta,75.25,31.66666667,8.38,475,24,219.7,14.2,65.0,19.0,0.60,0,28.0,36.5,43.0,12.0,,220.176,1.070825227,0.0
Amritsar,Nayatandel,75.1723,31.6701,7.99,523,0,280.7,35.5,30.0,0.9,0.28,0,56.0,17.0,41.0,15.0,,210.168,0.959737407,0.4
Amritsar,Ramdas,74.9111,31.9667,8.47,742,36,402.7,14.2,52.0,0.5,0.65,0,24.0,21.9,145.0,4.4,,150.12,4.280471947,4.8
Amritsar,Urdhan,74.86,31.9,8.25,367,0,268.5,7.1,50.0,2.3,0.35,0,40.0,29.2,28.0,7.3,,220.176,0.673185852,0.0
Barnala,Bahadaur,75.324,30.475,8.68,1267,72,525.0,71.0,130.0,22.0,0.65,0,20.0,41.0,265.0,9.5,,220,6.785954636,6.6
Barnala,Barnala,75.5325,30.35916667,8.37,1118,36,610.0,50.0,80.0,21.0,0.30,0,28.0,49.0,210.0,9.5,,270,4.786344211,5.7
Barnala,Mahal kalan,75.5458,30.5681,7.96,1018,0,647.0,50.0,0.0,36.0,0.48,0,24.0,41.0,180.0,13.0,,230,4.465250445,6.0
Bathinda,Ablu,74.7908,30.3386,8.15,710,0,219.7,40.4,110.0,27.0,0.43,0,46.0,20.2,65.0,29.0,,197.7581,1.59777035,-0.4
Bathinda,Badiala,75.32,30.23,8.2,2520,0,524.8,242.5,528.0,31.0,0.62,0,29.0,73.3,442.0,13.0,,374.6995,8.740060686,1.0
Bathinda,Bahman Kor Sing,75.127,29.909,8.44,480,36,146.4,13.5,40.0,3.5,0.89,0,46.0,17.7,24.0,8.2,,187.3498,0.601411213,-0.2
